id,kel_1_qn,kel_1_ans,kel_2_qn,kel_2_ans,kel_3_qn,kel_3_ans,prov,female,urban,muslim,age,married,children,educ,retired,unemployed,income,javanese,santri,v_11,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_23,v_55,v_56,v_60,v_62,v_65,v_77,v_78,v_79,v_82,v_84,v_86,v_87,v_109,v_114,v_116,v_117,v_118,v_120,v_121,v_122,v_124,v_125,v_126,v_128,v_129,v_130,v_132,v_133,v_134,v_136,v_137,v_138,v_140,v_141,prio1,prio2,prio3,prio4,prio5,prio6,prio7,prio8,prio9,prio10,prio11,prio12,prio13,prio14,prio15,prio16,prio17,prio18
1,"Pancasila/Unclear","Yes","Islam/Unclear","Yes","Pancasila/Good","Yes","NanggroeAcehDarussalam",0,0,1,57,1,5,2,0,0,8,0,0,"Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Fairly Often","Abangan","Don't Know","Same","Some progress","A Little","A Little","Not Interested","None at all","Yes","Refuse to answer","Somewhat satisfied","Agree","Agree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,"Pancasila/Unclear","No","Islam/Bad","Yes","Islam/Unclear","No","NanggroeAcehDarussalam",1,1,1,27,1,1,7,0,0,6,0,0,"Rarely","Routinely/Always/Very Often","Fairly Often","Seldom","Seldom","Seldom","Seldom","Seldom","Fairly Often","Don't know","Worse","Better","Some progress","Somewhat Large","None","Very Uninterested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Not very satisfied","Don't know","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Pancasila/Bad","No","Pancasila/Unclear","No","Islam/Bad","No","NanggroeAcehDarussalam",0,0,1,20,0,,7,0,0,2,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Worse","Same","A little progress","A Little","None","Not Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Strongly disagree","Compatible","Agree","Agree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,"Islam/Good","No","Islam/Unclear","No","Pancasila/Bad","No","NanggroeAcehDarussalam",1,0,1,29,1,3,3,0,0,4,0,0,"Don't Know","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Don't know","Same","Same","Some progress","Somewhat Large","None","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Strongly agree","Strongly incompatible","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,"Pancasila/Good","No","Pancasila/Bad","No","Pancasila/Good","No","NanggroeAcehDarussalam",0,1,1,42,1,5,7,0,0,3,0,0,"Always","Fairly Often","Fairly Often","Seldom","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Worse","Worse","Don't know","A Little","None","Don't know","None at all","Yes","megawati sukarnoputri-hasyim muzadi","Can't choose","Strongly agree","Disagree","Compatible","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,"Pancasila/Unclear","Yes","Pancasila/Bad","No","Pancasila/Bad","No","NanggroeAcehDarussalam",0,0,1,26,0,,7,0,0,3,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Same","Same","Much progress","Very Large","None","Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Strongly agree","Agree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7,"Pancasila/Bad","No","Islam/Unclear","No","Pancasila/Bad","Yes","NanggroeAcehDarussalam",0,0,1,40,1,4,2,0,0,5,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Better","Much worse","A little progress","A Little","None","Very Uninterested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Very satisfied","Strongly agree","Strongly disagree","Strongly incompatible","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,"Islam/Bad","No","Pancasila/Unclear","No","Pancasila/Bad","No","NanggroeAcehDarussalam",1,0,1,35,1,3,7,0,0,6,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Same","Much Better","A little progress","A Little","Don't Know","Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Disagree","Compatible","Disagree","Agree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Agree","Don't know/Refuse to answer","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,"Pancasila/Bad","No","Islam/Good","No","Pancasila/Unclear","No","NanggroeAcehDarussalam",0,1,1,37,1,3,7,0,0,6,0,0,"Always","Fairly Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Never","Never","Routinely/Always/Very Often","Don't know","Much worse","Same","A little progress","A Little","None","Not Interested","None at all","Yes","megawati sukarnoputri-hasyim muzadi","Not at all satisfied","Agree","Agree","Don't know","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,"Islam/Good","Yes","Islam/Bad","No","Pancasila/Good","Yes","NanggroeAcehDarussalam",0,1,1,27,1,1,9,0,0,5,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Worse","Better","Some progress","A Little","None","Very Uninterested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Agree","Compatible","Disagree","Agree","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,"Islam/Unclear","Yes","Pancasila/Unclear","Yes","Pancasila/Bad","Yes","NanggroeAcehDarussalam",1,1,1,45,1,3,7,0,0,5,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Worse","Worse","Don't know","A Little","Don't Know","Not Interested","None at all","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Agree","Compatible","Agree","Don't know/Refuse to answer","Disagree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,"Islam/Bad","No","Islam/Unclear","No","Islam/Unclear","No","NanggroeAcehDarussalam",0,0,1,38,1,5,3,0,0,4,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Worse","Same","A little progress","A Little","None","Not Interested","Somewhat large","Yes","Refuse to answer","Not very satisfied","Strongly agree","Agree","Compatible","Agree","Agree","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,"Islam/Good","Yes","Pancasila/Unclear","No","Islam/Unclear","No","NanggroeAcehDarussalam",0,0,1,30,1,1,7,0,0,9,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Same","Better","A little progress","Somewhat Large","None","Not Interested","Somewhat large","Yes",,"Very satisfied","Strongly agree","Agree","Compatible","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Agree","Disagree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
